entity,instance,name,value,dataset_date,table_name,tag,check,date,category,level
Column,*,Size,165,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,msisdn,CountDistinct,152,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,session,CountDistinct,165,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,total_hit,Minimum,1,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,total_duration_session,Minimum,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,total_volume,Minimum,40,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,distance,Minimum,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,total_distance,Minimum,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,sum_stay_duration,Minimum,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,sum_move_duration,Minimum,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,count_stay,Minimum,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,count_move,Minimum,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,total_hit,Maximum,14,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,total_duration_session,Maximum,2700,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,total_volume,Maximum,94343347,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,distance,Maximum,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,total_distance,Maximum,11.5721,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
